acq_week,week,tenure,acq_quarter,merchant_index,merchant,parent_merchant,category,subcategory,N_week_cohort,active_users,orders,rpt_orders,spend,rpt_spend
2017-03-12,2017-12-31,42,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,129,341,341,1748.771,1748.771
2017-03-12,2018-01-07,43,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,122,308,308,1418.9,1418.9
2017-03-12,2018-01-14,44,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,131,330,330,1613.52,1613.52
2017-03-12,2018-01-21,45,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,127,304,304,1360.04,1360.04
2017-03-12,2018-01-28,46,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,112,298,298,1491.24,1491.24
2017-03-12,2018-02-04,47,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,119,345,345,1561.43,1561.43
2017-03-12,2018-02-11,48,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,113,324,324,1401.97,1401.97
2017-03-12,2018-02-18,49,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,111,258,258,1178.21,1178.21
2017-03-12,2018-02-25,50,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,116,307,307,1423.45,1423.45
2017-03-12,2018-03-04,51,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,111,282,282,1327.58,1327.58
2017-03-12,2018-03-11,52,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,108,303,303,1559.731,1559.731
2017-03-12,2018-03-18,53,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,103,289,289,1460.8,1460.8
2017-03-12,2018-03-25,54,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,107,279,279,1543.03,1543.03
2017-03-12,2018-04-01,55,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,110,298,298,1495.891,1495.891
2017-03-12,2018-04-08,56,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,90,278,278,1551.78,1551.78
2017-03-12,2018-04-15,57,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,103,274,274,1370.36,1370.36
2017-03-12,2018-04-22,58,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,97,267,267,1306.17,1306.17
2017-03-12,2018-04-29,59,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,92,268,268,1321.52,1321.52
2017-03-12,2018-05-06,60,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,92,245,245,1138.25,1138.25
2017-03-12,2018-05-13,61,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,92,239,239,1125.07,1125.07
2017-03-12,2018-05-20,62,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,91,250,250,1139.62,1139.62
2017-03-12,2018-05-27,63,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,90,245,245,1243.43,1243.43
2017-03-12,2018-06-03,64,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,87,258,258,1159.44,1159.44
2017-03-12,2018-06-10,65,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,94,264,264,1281.94,1281.94
2017-03-12,2018-06-17,66,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,79,216,216,991.61,991.61
2017-03-12,2018-06-24,67,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,85,207,207,975.75,975.75
2017-03-12,2018-07-01,68,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,83,199,199,1198.961,1198.961
2017-03-12,2018-07-08,69,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,76,232,232,1252.34,1252.34
2017-03-12,2018-07-15,70,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,76,205,205,1220.291,1220.291
2017-03-12,2018-07-22,71,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,75,211,211,1263.341,1263.341
2017-03-12,2018-07-29,72,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,75,217,217,1389.993,1389.993
2017-03-12,2018-08-05,73,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,85,230,230,1196.571,1196.571
2017-03-12,2018-08-12,74,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,81,228,228,1200.711,1200.711
2017-03-12,2018-08-19,75,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,79,202,202,1123.822,1123.822
2017-03-12,2018-08-26,76,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,78,198,198,1136.271,1136.271
2017-03-12,2018-09-02,77,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,73,182,182,1393.372,1393.372
2017-03-12,2018-09-09,78,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,71,165,165,1151.381,1151.381
2017-03-12,2018-09-16,79,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,70,178,178,1136.281,1136.281
2017-03-12,2018-09-23,80,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,71,202,202,1447.101,1447.101
2017-03-12,2018-09-30,81,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,66,173,173,1215.191,1215.191
2017-03-12,2018-10-07,82,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,66,155,155,1345.923,1345.923
2017-03-12,2018-10-14,83,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,67,167,167,1157.671,1157.671
2017-03-12,2018-10-21,84,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,66,154,154,973.95,973.95
2017-03-12,2018-10-28,85,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,67,176,176,1234.582,1234.582
2017-03-12,2018-11-04,86,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,69,166,166,867.67,867.67
2017-03-12,2018-11-11,87,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,69,143,143,985.041000000001,985.041000000001
2017-03-12,2018-11-18,88,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,74,152,152,890.36,890.36
2017-03-12,2018-11-25,89,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,62,153,153,1063.061,1063.061
2017-03-12,2018-12-02,90,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,69,151,151,881.991000000001,881.991000000001
2017-03-12,2018-12-09,91,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,65,153,153,938.48,938.48
2017-03-12,2018-12-16,92,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,70,156,156,999.9,999.9
2017-03-12,2018-12-23,93,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,67,170,170,1192.21,1192.21
2017-03-12,2018-12-30,94,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,75,191,191,1280.08,1280.08
2017-03-12,2019-01-06,95,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,69,138,138,966.731000000001,966.731000000001
2017-03-12,2019-01-13,96,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,63,127,127,815.43,815.43
2017-03-12,2019-01-20,97,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,65,139,139,1315.623,1315.623
