time,merchant_name,cohort_size
2019-06-02,1034_salsarita_salsarita,281
2019-06-09,1034_salsarita_salsarita,316
2019-06-16,1034_salsarita_salsarita,378
2019-06-23,1034_salsarita_salsarita,378
2019-06-30,1034_salsarita_salsarita,349
2019-07-07,1034_salsarita_salsarita,359
2019-07-14,1034_salsarita_salsarita,354
2019-07-21,1034_salsarita_salsarita,323
2019-07-28,1034_salsarita_salsarita,333
2019-08-04,1034_salsarita_salsarita,317
2019-08-11,1034_salsarita_salsarita,318
2019-08-18,1034_salsarita_salsarita,298
2019-08-25,1034_salsarita_salsarita,325
2019-09-01,1034_salsarita_salsarita,286
2019-09-08,1034_salsarita_salsarita,329
2019-09-15,1034_salsarita_salsarita,310
2019-09-22,1034_salsarita_salsarita,311
2019-09-29,1034_salsarita_salsarita,292
2019-10-06,1034_salsarita_salsarita,351
2019-10-13,1034_salsarita_salsarita,388
2019-10-20,1034_salsarita_salsarita,370
2019-10-27,1034_salsarita_salsarita,335
2019-11-03,1034_salsarita_salsarita,369
2019-11-10,1034_salsarita_salsarita,332
2019-11-17,1034_salsarita_salsarita,288
2019-11-24,1034_salsarita_salsarita,302
2019-12-01,1034_salsarita_salsarita,316
2019-12-08,1034_salsarita_salsarita,319
2019-12-15,1034_salsarita_salsarita,314
2019-12-22,1034_salsarita_salsarita,297
2019-12-29,1034_salsarita_salsarita,327
2020-01-05,1034_salsarita_salsarita,268
2020-01-12,1034_salsarita_salsarita,258
2020-01-19,1034_salsarita_salsarita,278
2020-01-26,1034_salsarita_salsarita,232
2020-02-02,1034_salsarita_salsarita,250
2020-02-09,1034_salsarita_salsarita,285
2020-02-16,1034_salsarita_salsarita,290
2020-02-23,1034_salsarita_salsarita,271
2017-01-01,1043_pancheros_pancheros,302
2017-01-08,1043_pancheros_pancheros,247
2017-01-15,1043_pancheros_pancheros,277
2017-01-22,1043_pancheros_pancheros,220
2017-01-29,1043_pancheros_pancheros,264
2017-02-05,1043_pancheros_pancheros,234
2017-02-12,1043_pancheros_pancheros,265
2017-02-19,1043_pancheros_pancheros,274
2017-02-26,1043_pancheros_pancheros,248
2017-03-05,1043_pancheros_pancheros,259
2017-03-12,1043_pancheros_pancheros,215
2017-03-19,1043_pancheros_pancheros,266
2017-03-26,1043_pancheros_pancheros,258
2017-04-02,1043_pancheros_pancheros,244
2017-04-09,1043_pancheros_pancheros,251
2017-04-16,1043_pancheros_pancheros,233
2017-04-23,1043_pancheros_pancheros,250
2017-04-30,1043_pancheros_pancheros,296
2017-05-07,1043_pancheros_pancheros,278
2017-05-14,1043_pancheros_pancheros,262
2017-05-21,1043_pancheros_pancheros,261
2017-05-28,1043_pancheros_pancheros,230
2017-06-04,1043_pancheros_pancheros,230
2017-06-11,1043_pancheros_pancheros,240
2017-06-18,1043_pancheros_pancheros,242
2017-06-25,1043_pancheros_pancheros,243
2017-07-02,1043_pancheros_pancheros,218
2017-07-09,1043_pancheros_pancheros,257
2017-07-16,1043_pancheros_pancheros,231
2017-07-23,1043_pancheros_pancheros,262
2017-07-30,1043_pancheros_pancheros,216
2017-08-06,1043_pancheros_pancheros,234
2017-08-13,1043_pancheros_pancheros,269
2017-08-20,1043_pancheros_pancheros,253
2017-08-27,1043_pancheros_pancheros,258
2017-09-03,1043_pancheros_pancheros,239
2017-09-10,1043_pancheros_pancheros,243
2017-09-17,1043_pancheros_pancheros,263
2017-09-24,1043_pancheros_pancheros,209
2017-10-01,1043_pancheros_pancheros,208
2017-10-08,1043_pancheros_pancheros,241
2017-10-15,1043_pancheros_pancheros,202
2017-10-22,1043_pancheros_pancheros,213
2017-10-29,1043_pancheros_pancheros,246
2017-11-05,1043_pancheros_pancheros,216
2017-11-12,1043_pancheros_pancheros,184
2017-11-19,1043_pancheros_pancheros,193
2017-11-26,1043_pancheros_pancheros,178
2017-12-03,1043_pancheros_pancheros,210
2017-12-10,1043_pancheros_pancheros,181
2017-12-17,1043_pancheros_pancheros,208
2017-12-24,1043_pancheros_pancheros,179
2017-12-31,1043_pancheros_pancheros,137
2018-01-07,1043_pancheros_pancheros,144
2018-01-14,1043_pancheros_pancheros,170
2018-01-21,1043_pancheros_pancheros,177
2018-01-28,1043_pancheros_pancheros,183
2018-02-04,1043_pancheros_pancheros,140
2018-02-11,1043_pancheros_pancheros,153
2018-02-18,1043_pancheros_pancheros,190
2018-02-25,1043_pancheros_pancheros,194
2018-03-04,1043_pancheros_pancheros,185
2018-03-11,1043_pancheros_pancheros,191
2018-03-18,1043_pancheros_pancheros,171
2018-03-25,1043_pancheros_pancheros,194
2018-04-01,1043_pancheros_pancheros,214
2018-04-08,1043_pancheros_pancheros,234
2018-04-15,1043_pancheros_pancheros,206
2018-04-22,1043_pancheros_pancheros,189
2018-04-29,1043_pancheros_pancheros,188
2018-05-06,1043_pancheros_pancheros,175
2018-05-13,1043_pancheros_pancheros,181
2018-05-20,1043_pancheros_pancheros,179
2018-05-27,1043_pancheros_pancheros,187
2018-06-03,1043_pancheros_pancheros,188
2018-06-10,1043_pancheros_pancheros,171
2018-06-17,1043_pancheros_pancheros,179
2018-06-24,1043_pancheros_pancheros,212
2018-07-01,1043_pancheros_pancheros,179
2018-07-08,1043_pancheros_pancheros,198
2018-07-15,1043_pancheros_pancheros,196
2018-07-22,1043_pancheros_pancheros,186
2018-07-29,1043_pancheros_pancheros,170
2018-08-05,1043_pancheros_pancheros,184
2018-08-12,1043_pancheros_pancheros,180
2018-08-19,1043_pancheros_pancheros,177
2018-08-26,1043_pancheros_pancheros,182
2018-09-02,1043_pancheros_pancheros,195
2018-09-09,1043_pancheros_pancheros,187
2018-09-16,1043_pancheros_pancheros,206
2018-09-23,1043_pancheros_pancheros,172
2018-09-30,1043_pancheros_pancheros,171
2018-10-07,1043_pancheros_pancheros,188
2018-10-14,1043_pancheros_pancheros,194
2018-10-21,1043_pancheros_pancheros,155
2018-10-28,1043_pancheros_pancheros,185
2018-11-04,1043_pancheros_pancheros,180
2018-11-11,1043_pancheros_pancheros,198
2018-11-18,1043_pancheros_pancheros,120
2018-11-25,1043_pancheros_pancheros,144
2018-12-02,1043_pancheros_pancheros,190
2018-12-09,1043_pancheros_pancheros,163
2018-12-16,1043_pancheros_pancheros,162
2018-12-23,1043_pancheros_pancheros,104
2018-12-30,1043_pancheros_pancheros,135
2019-01-06,1043_pancheros_pancheros,153
2019-01-13,1043_pancheros_pancheros,139
2019-01-20,1043_pancheros_pancheros,131
2019-01-27,1043_pancheros_pancheros,131
2019-02-03,1043_pancheros_pancheros,135
2019-02-10,1043_pancheros_pancheros,156
2019-02-17,1043_pancheros_pancheros,158
2019-02-24,1043_pancheros_pancheros,169
2019-03-03,1043_pancheros_pancheros,163
2019-03-10,1043_pancheros_pancheros,155
2019-03-17,1043_pancheros_pancheros,205
2019-03-24,1043_pancheros_pancheros,192
2019-03-31,1043_pancheros_pancheros,190
2019-04-07,1043_pancheros_pancheros,224
2019-04-14,1043_pancheros_pancheros,210
2019-04-21,1043_pancheros_pancheros,172
2019-04-28,1043_pancheros_pancheros,164
2019-05-05,1043_pancheros_pancheros,164
2019-05-12,1043_pancheros_pancheros,191
2019-05-19,1043_pancheros_pancheros,191
2019-05-26,1043_pancheros_pancheros,132
2019-06-02,1043_pancheros_pancheros,194
2019-06-09,1043_pancheros_pancheros,164
2019-06-16,1043_pancheros_pancheros,202
2019-06-23,1043_pancheros_pancheros,184
2019-06-30,1043_pancheros_pancheros,168
2019-07-07,1043_pancheros_pancheros,183
2019-07-14,1043_pancheros_pancheros,190
2019-07-21,1043_pancheros_pancheros,200
2019-07-28,1043_pancheros_pancheros,165
2019-08-04,1043_pancheros_pancheros,192
2019-08-11,1043_pancheros_pancheros,170
2019-08-18,1043_pancheros_pancheros,175
2019-08-25,1043_pancheros_pancheros,181
2019-09-01,1043_pancheros_pancheros,173
2019-09-08,1043_pancheros_pancheros,144
2019-09-15,1043_pancheros_pancheros,142
2019-09-22,1043_pancheros_pancheros,181
2019-09-29,1043_pancheros_pancheros,164
2019-10-06,1043_pancheros_pancheros,162
2019-10-13,1043_pancheros_pancheros,159
2019-10-20,1043_pancheros_pancheros,154
2019-10-27,1043_pancheros_pancheros,144
2019-11-03,1043_pancheros_pancheros,167
2019-11-10,1043_pancheros_pancheros,142
2019-11-17,1043_pancheros_pancheros,138
2019-11-24,1043_pancheros_pancheros,136
2019-12-01,1043_pancheros_pancheros,113
2019-12-08,1043_pancheros_pancheros,127
2019-12-15,1043_pancheros_pancheros,129
2019-12-22,1043_pancheros_pancheros,122
2019-12-29,1043_pancheros_pancheros,125
2020-01-05,1043_pancheros_pancheros,114
2020-01-12,1043_pancheros_pancheros,132
2020-01-19,1043_pancheros_pancheros,111
2020-01-26,1043_pancheros_pancheros,132
2020-02-02,1043_pancheros_pancheros,130
2020-02-09,1043_pancheros_pancheros,125
2020-02-16,1043_pancheros_pancheros,136
2020-02-23,1043_pancheros_pancheros,128
2017-01-01,214_qdoba_qdoba,3394
2017-01-08,214_qdoba_qdoba,3233
2017-01-15,214_qdoba_qdoba,3559
2017-01-22,214_qdoba_qdoba,3743
2017-01-29,214_qdoba_qdoba,3594
2017-02-05,214_qdoba_qdoba,3471
2017-02-12,214_qdoba_qdoba,3881
2017-02-19,214_qdoba_qdoba,4040
2017-02-26,214_qdoba_qdoba,4029
2017-03-05,214_qdoba_qdoba,3862
2017-03-12,214_qdoba_qdoba,3656
2017-03-19,214_qdoba_qdoba,3996
2017-03-26,214_qdoba_qdoba,3674
2017-04-02,214_qdoba_qdoba,3865
2017-04-09,214_qdoba_qdoba,3699
2017-04-16,214_qdoba_qdoba,3520
2017-04-23,214_qdoba_qdoba,3568
2017-04-30,214_qdoba_qdoba,3683
2017-05-07,214_qdoba_qdoba,3472
2017-05-14,214_qdoba_qdoba,3382
2017-05-21,214_qdoba_qdoba,3317
2017-05-28,214_qdoba_qdoba,3280
2017-06-04,214_qdoba_qdoba,3373
2017-06-11,214_qdoba_qdoba,3542
2017-06-18,214_qdoba_qdoba,3447
2017-06-25,214_qdoba_qdoba,3482
2017-07-02,214_qdoba_qdoba,3246
2017-07-09,214_qdoba_qdoba,3405
2017-07-16,214_qdoba_qdoba,3441
2017-07-23,214_qdoba_qdoba,3180
2017-07-30,214_qdoba_qdoba,3208
2017-08-06,214_qdoba_qdoba,3073
2017-08-13,214_qdoba_qdoba,3068
2017-08-20,214_qdoba_qdoba,3285
2017-08-27,214_qdoba_qdoba,3180
2017-09-03,214_qdoba_qdoba,2899
2017-09-10,214_qdoba_qdoba,3072
2017-09-17,214_qdoba_qdoba,2973
2017-09-24,214_qdoba_qdoba,2872
2017-10-01,214_qdoba_qdoba,2965
2017-10-08,214_qdoba_qdoba,2765
2017-10-15,214_qdoba_qdoba,3041
2017-10-22,214_qdoba_qdoba,2708
2017-10-29,214_qdoba_qdoba,2664
2017-11-05,214_qdoba_qdoba,2662
2017-11-12,214_qdoba_qdoba,2577
2017-11-19,214_qdoba_qdoba,2120
2017-11-26,214_qdoba_qdoba,2208
2017-12-03,214_qdoba_qdoba,2501
2017-12-10,214_qdoba_qdoba,2379
2017-12-17,214_qdoba_qdoba,2449
2017-12-24,214_qdoba_qdoba,1917
2017-12-31,214_qdoba_qdoba,1916
2018-01-07,214_qdoba_qdoba,2019
2018-01-14,214_qdoba_qdoba,2064
2018-01-21,214_qdoba_qdoba,2171
2018-01-28,214_qdoba_qdoba,2261
2018-02-04,214_qdoba_qdoba,2040
2018-02-11,214_qdoba_qdoba,2344
2018-02-18,214_qdoba_qdoba,2395
2018-02-25,214_qdoba_qdoba,2616
2018-03-04,214_qdoba_qdoba,2485
2018-03-11,214_qdoba_qdoba,2542
2018-03-18,214_qdoba_qdoba,2499
2018-03-25,214_qdoba_qdoba,2529
2018-04-01,214_qdoba_qdoba,2281
2018-04-08,214_qdoba_qdoba,2374
2018-04-15,214_qdoba_qdoba,2364
2018-04-22,214_qdoba_qdoba,2416
2018-04-29,214_qdoba_qdoba,2535
2018-05-06,214_qdoba_qdoba,2522
2018-05-13,214_qdoba_qdoba,2352
2018-05-20,214_qdoba_qdoba,2350
2018-05-27,214_qdoba_qdoba,2281
2018-06-03,214_qdoba_qdoba,2363
2018-06-10,214_qdoba_qdoba,2376
2018-06-17,214_qdoba_qdoba,2373
2018-06-24,214_qdoba_qdoba,2460
2018-07-01,214_qdoba_qdoba,2213
2018-07-08,214_qdoba_qdoba,2278
2018-07-15,214_qdoba_qdoba,2351
2018-07-22,214_qdoba_qdoba,2229
2018-07-29,214_qdoba_qdoba,2216
2018-08-05,214_qdoba_qdoba,2348
2018-08-12,214_qdoba_qdoba,2362
2018-08-19,214_qdoba_qdoba,2378
2018-08-26,214_qdoba_qdoba,2264
2018-09-02,214_qdoba_qdoba,2109
2018-09-09,214_qdoba_qdoba,2146
2018-09-16,214_qdoba_qdoba,2127
2018-09-23,214_qdoba_qdoba,2180
2018-09-30,214_qdoba_qdoba,2116
2018-10-07,214_qdoba_qdoba,2114
2018-10-14,214_qdoba_qdoba,2013
2018-10-21,214_qdoba_qdoba,1994
2018-10-28,214_qdoba_qdoba,2014
2018-11-04,214_qdoba_qdoba,2010
2018-11-11,214_qdoba_qdoba,1918
2018-11-18,214_qdoba_qdoba,1604
2018-11-25,214_qdoba_qdoba,1569
2018-12-02,214_qdoba_qdoba,1777
2018-12-09,214_qdoba_qdoba,1737
2018-12-16,214_qdoba_qdoba,1845
2018-12-23,214_qdoba_qdoba,1271
2018-12-30,214_qdoba_qdoba,1510
2019-01-06,214_qdoba_qdoba,1643
2019-01-13,214_qdoba_qdoba,1587
2019-01-20,214_qdoba_qdoba,1554
2019-01-27,214_qdoba_qdoba,1530
2019-02-03,214_qdoba_qdoba,1540
2019-02-10,214_qdoba_qdoba,1787
2019-02-17,214_qdoba_qdoba,1718
2019-02-24,214_qdoba_qdoba,1788
2019-03-03,214_qdoba_qdoba,1775
2019-03-10,214_qdoba_qdoba,1835
2019-03-17,214_qdoba_qdoba,1870
2019-03-24,214_qdoba_qdoba,1925
2019-03-31,214_qdoba_qdoba,1985
2019-04-07,214_qdoba_qdoba,1890
2019-04-14,214_qdoba_qdoba,1924
2019-04-21,214_qdoba_qdoba,1812
2019-04-28,214_qdoba_qdoba,1973
2019-05-05,214_qdoba_qdoba,1915
2019-05-12,214_qdoba_qdoba,1768
2019-05-19,214_qdoba_qdoba,1809
2019-05-26,214_qdoba_qdoba,1858
2019-06-02,214_qdoba_qdoba,1867
2019-06-09,214_qdoba_qdoba,1914
2019-06-16,214_qdoba_qdoba,1879
2019-06-23,214_qdoba_qdoba,1864
2019-06-30,214_qdoba_qdoba,1800
2019-07-07,214_qdoba_qdoba,1768
2019-07-14,214_qdoba_qdoba,1877
2019-07-21,214_qdoba_qdoba,1786
2019-07-28,214_qdoba_qdoba,1838
2019-08-04,214_qdoba_qdoba,1962
2019-08-11,214_qdoba_qdoba,1739
2019-08-18,214_qdoba_qdoba,1845
2019-08-25,214_qdoba_qdoba,1790
2019-09-01,214_qdoba_qdoba,1702
2019-09-08,214_qdoba_qdoba,1685
2019-09-15,214_qdoba_qdoba,1697
2019-09-22,214_qdoba_qdoba,1679
2019-09-29,214_qdoba_qdoba,1683
2019-10-06,214_qdoba_qdoba,1574
2019-10-13,214_qdoba_qdoba,1597
2019-10-20,214_qdoba_qdoba,1659
2019-10-27,214_qdoba_qdoba,1560
